Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2023-000001,2023-10-17,2023-10-23,Standard Class,CUS-0024,Customer 56,Consumer,Chicago,Illinois,Central,PROD-0001,Office Supplies,Labels,Address Labels,118.55,9,0.4,-9.97
CA-2020-000002,2020-01-14,2020-01-21,First Class,CUS-0056,Customer 196,Home Office,Biloxi,Mississippi,South,PROD-0002,Furniture,Chairs,Executive Chair,2262.53,3,0.3,88.09
CA-2020-000003,2020-03-29,2020-04-04,First Class,CUS-0076,Customer 161,Corporate,Montgomery,Alabama,South,PROD-0003,Technology,Phones,Samsung Galaxy,5593.01,8,0.4,-338.94
CA-2020-000004,2020-06-12,2020-06-19,First Class,CUS-0163,Customer 94,Consumer,San Diego,California,West,PROD-0004,Office Supplies,Art,Pencils,417.51,4,0.4,16.28
CA-2023-000005,2023-06-01,2023-06-07,Standard Class,CUS-0098,Customer 70,Home Office,Tampa,Florida,East,PROD-0005,Furniture,Bookcases,3-Shelf Bookcase,2289.05,3,0.1,-41.89
CA-2022-000006,2022-04-01,2022-04-04,First Class,CUS-0128,Customer 102,Consumer,Houston,Texas,Central,PROD-0006,Office Supplies,Fasteners,Paper Clips,64.6,2,0.3,0.41
CA-2023-000007,2023-04-12,2023-04-16,First Class,CUS-0036,Customer 131,Home Office,Chicago,Illinois,Central,PROD-0007,Office Supplies,Binders,3-Ring Binder,745.95,10,0.1,297.38
CA-2023-000008,2023-05-06,2023-05-07,Same Day,CUS-0142,Customer 3,Home Office,Seattle,Washington,West,PROD-0008,Technology,Phones,Samsung Galaxy,3104.2,7,0.5,510.82
CA-2020-000009,2020-11-19,2020-11-23,Same Day,CUS-0196,Customer 46,Corporate,Columbus,Ohio,Central,PROD-0009,Office Supplies,Fasteners,Stapler,152.8,1,0.2,58.97
CA-2023-000010,2023-01-09,2023-01-16,Second Class,CUS-0029,Customer 93,Corporate,Chicago,Illinois,Central,PROD-0010,Office Supplies,Labels,File Labels,1159.87,9,0.3,167.37
CA-2020-000011,2020-05-21,2020-05-28,Same Day,CUS-0141,Customer 43,Home Office,New York City,New York,East,PROD-0011,Technology,Accessories,Mouse,14206.52,9,0.0,3265.73
CA-2022-000012,2022-06-16,2022-06-21,First Class,CUS-0006,Customer 151,Home Office,Orlando,Florida,East,PROD-0012,Technology,Copiers,Canon Copier,3008.21,8,0.1,-204.52
CA-2021-000013,2021-04-13,2021-04-14,Standard Class,CUS-0072,Customer 172,Home Office,New York City,New York,East,PROD-0013,Office Supplies,Storage,Drawer Organizer,172.63,1,0.0,27.12
CA-2020-000014,2020-07-12,2020-07-13,Second Class,CUS-0187,Customer 14,Corporate,Biloxi,Mississippi,South,PROD-0014,Technology,Accessories,Keyboard,3518.49,7,0.4,469.76
CA-2021-000015,2021-01-27,2021-01-29,Second Class,CUS-0119,Customer 64,Consumer,Reno,Nevada,West,PROD-0015,Office Supplies,Fasteners,Stapler,499.39,9,0.4,-4.12
CA-2022-000016,2022-04-12,2022-04-16,Second Class,CUS-0043,Customer 98,Consumer,Los Angeles,California,West,PROD-0016,Furniture,Furnishings,Lamp,1916.38,8,0.4,673.07
CA-2020-000017,2020-11-13,2020-11-15,Same Day,CUS-0139,Customer 16,Home Office,Baton Rouge,Louisiana,South,PROD-0017,Furniture,Furnishings,Rug,2023.91,5,0.0,383.71
CA-2021-000018,2021-01-15,2021-01-16,Standard Class,CUS-0146,Customer 64,Consumer,Las Vegas,Nevada,West,PROD-0018,Office Supplies,Art,Markers,164.27,10,0.1,16.74
CA-2023-000019,2023-10-03,2023-10-09,Second Class,CUS-0166,Customer 77,Corporate,Reno,Nevada,West,PROD-0019,Office Supplies,Paper,A4 Paper,185.56,6,0.4,-6.41
CA-2022-000020,2022-11-02,2022-11-05,Second Class,CUS-0095,Customer 73,Consumer,Las Vegas,Nevada,West,PROD-0020,Technology,Machines,HP Laptop,5639.6,3,0.0,1915.41
CA-2020-000021,2020-08-24,2020-08-25,First Class,CUS-0184,Customer 88,Consumer,Portland,Oregon,West,PROD-0021,Furniture,Furnishings,Rug,2286.91,9,0.2,462.9
CA-2021-000022,2021-07-20,2021-07-21,Same Day,CUS-0068,Customer 42,Consumer,New Orleans,Louisiana,South,PROD-0022,Furniture,Bookcases,Corner Bookcase,566.98,1,0.0,123.92
